Item,Amount,Minimizer,Method,Assemblers,Execution Time (seconds)
electronic-circuit,150,1,build_belts,"{'electronic-circuit': 3, 'copper-cable': 4, 'copper-plate': 0, 'iron-plate': 0}",25.114238200003456
electronic-circuit,150,1,solve,"{'electronic-circuit': 3, 'copper-cable': 4, 'copper-plate': 0, 'iron-plate': 0}",150.43603850000363
electronic-circuit,150,1,build_belts,"{'electronic-circuit': 3, 'copper-cable': 4, 'copper-plate': 0, 'iron-plate': 0}",33.3556247000015
electronic-circuit,150,1,solve,"{'electronic-circuit': 3, 'copper-cable': 4, 'copper-plate': 0, 'iron-plate': 0}",84.6411761000054
electronic-circuit,150,1,build_belts,"{'electronic-circuit': 3, 'copper-cable': 4, 'copper-plate': 0, 'iron-plate': 0}",10.93106540000008
electronic-circuit,150,1,solve,"{'electronic-circuit': 3, 'copper-cable': 4, 'copper-plate': 0, 'iron-plate': 0}",108.19171869999991
electronic-circuit,150,1,build_belts,"{'electronic-circuit': 3, 'copper-cable': 4, 'copper-plate': 0, 'iron-plate': 0}",17.28372930000478
electronic-circuit,150,1,solve,"{'electronic-circuit': 3, 'copper-cable': 4, 'copper-plate': 0, 'iron-plate': 0}",179.99673299999995
electronic-circuit,150,1,build_belts,"{'electronic-circuit': 3, 'copper-cable': 4, 'copper-plate': 0, 'iron-plate': 0}",38.216125699997065
electronic-circuit,150,1,solve,"{'electronic-circuit': 3, 'copper-cable': 4, 'copper-plate': 0, 'iron-plate': 0}",137.6842975000036
electronic-circuit,150,1,build_belts,"{'electronic-circuit': 3, 'copper-cable': 4, 'copper-plate': 0, 'iron-plate': 0}",16.171735199997784
electronic-circuit,150,1,solve,"{'electronic-circuit': 3, 'copper-cable': 4, 'copper-plate': 0, 'iron-plate': 0}",99.54221819999657
electronic-circuit,150,1,build_belts,"{'electronic-circuit': 3, 'copper-cable': 4, 'copper-plate': 0, 'iron-plate': 0}",12.039692499994999
electronic-circuit,150,1,solve,"{'electronic-circuit': 3, 'copper-cable': 4, 'copper-plate': 0, 'iron-plate': 0}",111.44143470000563
electronic-circuit,150,1,build_belts,"{'electronic-circuit': 3, 'copper-cable': 4, 'copper-plate': 0, 'iron-plate': 0}",17.356904300002498
electronic-circuit,150,1,solve,"{'electronic-circuit': 3, 'copper-cable': 4, 'copper-plate': 0, 'iron-plate': 0}",118.30670559999999
electronic-circuit,150,1,build_belts,"{'electronic-circuit': 3, 'copper-cable': 4, 'copper-plate': 0, 'iron-plate': 0}",20.063776599999983
electronic-circuit,150,1,solve,"{'electronic-circuit': 3, 'copper-cable': 4, 'copper-plate': 0, 'iron-plate': 0}",137.5666194000005
electronic-circuit,150,1,build_belts,"{'electronic-circuit': 3, 'copper-cable': 4, 'copper-plate': 0, 'iron-plate': 0}",15.67681630000152
copper-cable,1,1,solve,"{'copper-cable': 1, 'copper-plate': 0}",0.24584949999552919
copper-cable,1,1,build_belts,"{'copper-cable': 1, 'copper-plate': 0}",0.009262899999157526
copper-cable,1,1,solve,"{'copper-cable': 1, 'copper-plate': 0}",0.27476880000176607
copper-cable,1,1,build_belts,"{'copper-cable': 1, 'copper-plate': 0}",0.009953599997970741
copper-cable,1,1,solve,"{'copper-cable': 1, 'copper-plate': 0}",0.2444720999992569
copper-cable,1,1,build_belts,"{'copper-cable': 1, 'copper-plate': 0}",0.00900559999718098
copper-cable,1,1,solve,"{'copper-cable': 1, 'copper-plate': 0}",0.22686619999876712
copper-cable,1,1,build_belts,"{'copper-cable': 1, 'copper-plate': 0}",0.008750000000873115
copper-cable,1,1,solve,"{'copper-cable': 1, 'copper-plate': 0}",0.2545814999975846
copper-cable,1,1,build_belts,"{'copper-cable': 1, 'copper-plate': 0}",0.008727599997655489
copper-cable,1,1,solve,"{'copper-cable': 1, 'copper-plate': 0}",0.2329135000036331
copper-cable,1,1,build_belts,"{'copper-cable': 1, 'copper-plate': 0}",0.008927000002586283
copper-cable,1,1,solve,"{'copper-cable': 1, 'copper-plate': 0}",0.2303682000056142
copper-cable,1,1,build_belts,"{'copper-cable': 1, 'copper-plate': 0}",0.008679099999426398
copper-cable,1,1,solve,"{'copper-cable': 1, 'copper-plate': 0}",0.227741499998956
copper-cable,1,1,build_belts,"{'copper-cable': 1, 'copper-plate': 0}",0.010163200000533834
copper-cable,1,1,solve,"{'copper-cable': 1, 'copper-plate': 0}",0.22991019999608397
copper-cable,1,1,build_belts,"{'copper-cable': 1, 'copper-plate': 0}",0.008722999999008607
copper-cable,1,1,solve,"{'copper-cable': 1, 'copper-plate': 0}",0.250317999998515
copper-cable,1,1,build_belts,"{'copper-cable': 1, 'copper-plate': 0}",0.00991280000016559
copper-cable,100,1,solve,"{'copper-cable': 1, 'copper-plate': 0}",0.24677950000477722
copper-cable,100,1,build_belts,"{'copper-cable': 1, 'copper-plate': 0}",0.0093778000009479
copper-cable,100,1,solve,"{'copper-cable': 1, 'copper-plate': 0}",0.2445783000002848
copper-cable,100,1,build_belts,"{'copper-cable': 1, 'copper-plate': 0}",0.008697099998244084
copper-cable,100,1,solve,"{'copper-cable': 1, 'copper-plate': 0}",0.24219080000329996
